"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"364","Tomb Raider V: Chronicles","Nov 28, 2012","$6.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Core Design","Crystal Dynamics"
"366","Battlepaths","Oct 28, 2012","$2.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Key17 Games","Digerati"
"369","Iron Sky: Invasion","Dec 13, 2012","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Reality Pump","Topware Interactive"
"375","Planets Under Attack","Sep 27, 2012","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Targem Games","Topware Interactive"
"377","Tomb Raider VI: The Angel of Darkness","Nov 28, 2012","$6.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Core Design","Crystal Dynamics"
"382","Port Royale 3","May 4, 2012","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Gaming Minds Studios","Kalypso Media Digital"
"383","Adventures of Shuggy","Jun 13, 2012","$4.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Smudged Cat Games Ltd","Smudged Cat Games Ltd"
"384","Tomb Raider IV: The Last Revelation","Nov 28, 2012","$6.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Core Design","Crystal Dynamics"
"386","The Basement Collection","Aug 31, 2012","$3.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Edmund McMillen, Tyler Glaiel","Edmund McMillen"
"389","Sonic the Hedgehog 4 - Episode I","Jan 19, 2012","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","SEGA","SEGA"
"391","Blood Bowl: Chaos Edition","Oct 11, 2012","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Cyanide Studios","Cyanide Studios"
"392","NiGHTS Into Dreams","Dec 17, 2012","$7.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","SEGA","SEGA"
"396","Galaxy on Fire 2 Full HD","Aug 21, 2012","$7.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Fishlabs Entertainment GmbH","bitComposer Games"
"397","Sea Dogs: To Each His Own","Dec 2012","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","BlackMark Studio","Akella, Valkyrie Initiative"
"398","Indie Game: The Movie","Jun 12, 2012","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","BlinkWorks Media","BlinkWorks Media"
"399","Tomb Raider II (1997)","Nov 28, 2012","$6.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Core Design","Crystal Dynamics"
"400","Dead Pixels","Dec 7, 2012","$2.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","CSR-Studios","CSR-Studios"
"403","Zombie Driver HD","Oct 17, 2012","$1.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Exor Studios","Exor Studios"
"409","Sonic CD","Jan 19, 2012","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Blit Software","SEGA"
"20","Unity of Command: Stalingrad Campaign","Oct 17, 2012","$9.99","N/A (N/A/84%)","100,000 .. 200,000","00:00 (00:00)","2x2 Games","2x2 Games"
"24","Tales From Space: Mutant Blobs Attack","Aug 15, 2012","$9.99","N/A (N/A/83%)","100,000 .. 200,000","00:00 (00:00)","DrinkBox Studios","DrinkBox Studios"
"36","PixelJunk Eden","Feb 2, 2012","$9.99","N/A (N/A/81%)","100,000 .. 200,000","00:00 (00:00)","Q-Games Ltd.","Q-Games Ltd."
"47","Fly'N","Nov 9, 2012","$9.99","N/A (N/A/80%)","100,000 .. 200,000","00:00 (00:00)","Ankama Games","Ankama Games"
"49","Stealth Bastard Deluxe","Nov 28, 2012","$9.99","N/A (N/A/80%)","100,000 .. 200,000","00:00 (00:00)","Curve Studios","Curve Games"
"50","The Blackwell Legacy","Jan 13, 2012","$4.99","N/A (N/A/80%)","100,000 .. 200,000","00:00 (00:00)","Wadjet Eye Games","Wadjet Eye Games"
"60","Street Fighter X Tekken","May 11, 2012","$12.99","N/A (N/A/79%)","100,000 .. 200,000","00:00 (00:00)","Capcom U.S.A., Inc.","Capcom U.S.A., Inc."
"73","Sine Mora","Nov 9, 2012","$1.99","N/A (N/A/77%)","100,000 .. 200,000","00:00 (00:00)","Digital Reality","HandyGames"
"81","Resonance","Jul 25, 2012","$9.99","N/A (N/A/76%)","100,000 .. 200,000","00:00 (00:00)","XII Games","Wadjet Eye Games"
"83","Miasmata","Nov 28, 2012","$14.99","N/A (N/A/76%)","100,000 .. 200,000","00:00 (00:00)","IonFx","IonFX Studios"
"84","Avernum: Escape From the Pit","Apr 11, 2012","$2.99","N/A (N/A/76%)","100,000 .. 200,000","00:00 (00:00)","Spiderweb Software","Spiderweb Software"
"92","Symphony","Aug 6, 2012","$4.99","N/A (N/A/75%)","100,000 .. 200,000","00:00 (00:00)","Empty Clip Studios","Empty Clip Studios"
"100","Snapshot","Aug 30, 2012","$9.99","N/A (N/A/74%)","100,000 .. 200,000","00:00 (00:00)","Retro Affect","Retro Affect"
"102","Cubemen","Mar 16, 2012","$3.99","N/A (N/A/74%)","100,000 .. 200,000","00:00 (00:00)","3 Sprockets","3 Sprockets"
"103","Unmechanical","Aug 8, 2012","$9.99","N/A (N/A/74%)","100,000 .. 200,000","00:00 (00:00)","Talawa Games","Teotl Studios"
"105","They Bleed Pixels","Aug 29, 2012","$9.99","N/A (N/A/74%)","100,000 .. 200,000","00:00 (00:00)","Spooky Squid Games Inc.","Spooky Squid Games Inc."
"112","Crusader Kings Complete","Feb 14, 2012","$9.99","N/A (N/A/73%)","100,000 .. 200,000","00:00 (00:00)","Paradox Development Studio","Paradox Interactive"
"115","The Book of Unwritten Tales: The Critter Chronicles","Dec 5, 2012","$19.99","N/A (N/A/73%)","100,000 .. 200,000","00:00 (00:00)","KING Art","THQ Nordic"
"116","Blackwell Deception","Jan 13, 2012","$9.99","N/A (N/A/73%)","100,000 .. 200,000","00:00 (00:00)","Wadjet Eye Games","Wadjet Eye Games"
"117","Ys: The Oath in Felghana","Mar 19, 2012","$14.99","N/A (N/A/73%)","100,000 .. 200,000","00:00 (00:00)","Nihon Falcom","XSEED Games"
"123","Ridge Racer Unbounded","Mar 29, 2012","$9.99","N/A (N/A/72%)","100,000 .. 200,000","00:00 (00:00)","BUGBEAR","BANDAI NAMCO Entertainment"
"143","King Arthur II: The Role-Playing Wargame","Jan 27, 2012","$9.99","N/A (N/A/66%)","100,000 .. 200,000","00:00 (00:00)","NeocoreGames","Paradox Interactive"
"148","Yesterday","Mar 22, 2012","$4.99","N/A (N/A/65%)","100,000 .. 200,000","00:00 (00:00)","Pendulo Studios","Focus Entertainment"
"153","Jagged Alliance: Crossfire","Aug 24, 2012","$14.99","N/A (N/A/63%)","100,000 .. 200,000","00:00 (00:00)","Coreplay GmbH","THQ Nordic"
"158","Analogue: A Hate Story","Apr 27, 2012","$9.99","N/A (N/A/62%)","100,000 .. 200,000","00:00 (00:00)","Love Conquers All Games","Love Conquers All Games"
"162","A Game of Dwarves","Oct 23, 2012","$9.99","N/A (N/A/60%)","100,000 .. 200,000","00:00 (00:00)","Zeal Game Studio","Paradox Interactive"
"171","Tiny Troopers","Aug 24, 2012","N/A","N/A (N/A/57%)","100,000 .. 200,000","00:00 (00:00)","Kukouri","Wired Productions"
"173","SpellForce 2: Faith in Destiny","Jun 19, 2012","$14.99","N/A (N/A/55%)","100,000 .. 200,000","00:00 (00:00)","Mind Over Matter Studios","THQ Nordic"
"176","The Political Machine","Jul 31, 2012","N/A","N/A (N/A/54%)","100,000 .. 200,000","00:00 (00:00)","Stardock Entertainment","Stardock Entertainment"
"177","A Valley Without Wind","Apr 24, 2012","$14.99","N/A (N/A/54%)","100,000 .. 200,000","00:00 (00:00)","Arcen Games, LLC","Arcen Games, LLC"
"178","Sonic the Hedgehog 4 - Episode II","May 15, 2012","$9.99","N/A (N/A/54%)","100,000 .. 200,000","00:16 (00:08)","SEGA","SEGA"
"182","Confrontation","Apr 4, 2012","$9.99","N/A (N/A/51%)","100,000 .. 200,000","00:00 (00:00)","Cyanide Studio","Focus Home Interactive"
"185","Karateka","Dec 3, 2012","$3.99","N/A (N/A/48%)","100,000 .. 200,000","00:00 (00:00)","Liquid Entertainment","Dotemu"
"187","Starpoint Gemini","Feb 16, 2012","$13.99","N/A (N/A/46%)","100,000 .. 200,000","00:00 (00:00)","Little Green Men Games","Little Green Men Games"
"191","Painkiller: Recurring Evil","Feb 29, 2012","$1.99","N/A (N/A/38%)","100,000 .. 200,000","00:00 (00:00)","Med-Art","Prime Matter"
"203","Mandew vs the Colorless Curse","Jun 26, 2012","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Suits & Sandals","Suits & Sandals"
"218","The Kite","Jan 1, 2012","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Anate Studio","Anate Studio"
"258","Critical Damage","Nov 10, 2012","$5.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","First Games Interactive","First Games Interactive"
"274","Monsters' Den Chronicles","May 22, 2012","$5.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Monstrum","Monstrum"
"278","Playing History - The Plague","Nov 14, 2012","$0.49","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Serious Games Interactive","My Way Games"
"322","Spirits","Sep 4, 2012","$3.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Spaces of Play UG","Spaces of Play UG"
"326","Fieldrunners","May 24, 2012","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Subatomic Studios LLC","Subatomic Studios LLC"
"327","Foreign Legion: Multi Massacre","Jul 9, 2012","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Sakari Games","Sakari Games"
